monthly gross income,net income,social security payments,income tax
27300,15348.96,1250.10,10700.94
27400,15401.48,1250.10,10748.42
27500,15454.01,1250.10,10795.89
27600,15506.53,1250.10,10843.37
27700,15559.06,1250.10,10890.84
27800,15611.58,1250.10,10938.32
27900,15664.11,1250.10,10985.79
28000,15716.63,1250.10,11033.27
28100,15769.16,1250.10,11080.74
28200,15821.68,1250.10,11128.22
28300,15874.21,1250.10,11175.69
28400,15926.73,1250.10,11223.17
28500,15979.26,1250.10,11270.64
28600,16031.78,1250.10,11318.12
28700,16084.31,1250.10,11365.59
28800,16136.83,1250.10,11413.07
28900,16189.36,1250.10,11460.54
29000,16241.88,1250.10,11508.02
29100,16294.41,1250.10,11555.49
29200,16346.93,1250.10,11602.97
29300,16399.46,1250.10,11650.44
29400,16451.98,1250.10,11697.92
29500,16504.51,1250.10,11745.39
29600,16557.03,1250.10,11792.87
29700,16609.56,1250.10,11840.34
29800,16662.08,1250.10,11887.82
29900,16714.61,1250.10,11935.29
30000,16767.13,1250.10,11982.77
30100,16819.66,1250.10,12030.24
30200,16872.18,1250.10,12077.72
30300,16924.71,1250.10,12125.19
30400,16977.23,1250.10,12172.67
30500,17029.76,1250.10,12220.14
30600,17082.28,1250.10,12267.62
30700,17134.81,1250.10,12315.09
30800,17187.33,1250.10,12362.57
30900,17239.86,1250.10,12410.04
31000,17292.38,1250.10,12457.52
31100,17344.91,1250.10,12504.99
31200,17397.43,1250.10,12552.47
31300,17449.96,1250.10,12599.94
31400,17502.48,1250.10,12647.42
31500,17555.01,1250.10,12694.89
31600,17607.53,1250.10,12742.37
31700,17660.06,1250.10,12789.84
31800,17712.58,1250.10,12837.32
31900,17765.11,1250.10,12884.79
32000,17817.63,1250.10,12932.27
32100,17870.16,1250.10,12979.74
32200,17922.68,1250.10,13027.22
32300,17975.21,1250.10,13074.69
32400,18027.73,1250.10,13122.17
32500,18080.26,1250.10,13169.64
32600,18132.78,1250.10,13217.12
32700,18185.31,1250.10,13264.59
32800,18237.83,1250.10,13312.07
32900,18290.36,1250.10,13359.54
33000,18342.88,1250.10,13407.02
33100,18395.41,1250.10,13454.49
33200,18447.93,1250.10,13501.97
33300,18500.46,1250.10,13549.44
33400,18552.98,1250.10,13596.92
33500,18605.51,1250.10,13644.39
33600,18658.03,1250.10,13691.87
33700,18710.56,1250.10,13739.34
33800,18763.08,1250.10,13786.82
33900,18815.61,1250.10,13834.29
34000,18868.13,1250.10,13881.77
34100,18920.66,1250.10,13929.24
34200,18973.18,1250.10,13976.72
34300,19025.71,1250.10,14024.19
34400,19078.23,1250.10,14071.67
34500,19130.76,1250.10,14119.14
34600,19183.28,1250.10,14166.62
34700,19235.81,1250.10,14214.09
34800,19288.33,1250.10,14261.57
34900,19340.86,1250.10,14309.04
35000,19393.38,1250.10,14356.52
35100,19445.91,1250.10,14403.99
35200,19498.43,1250.10,14451.47
35300,19550.96,1250.10,14498.94
35400,19603.48,1250.10,14546.42
35500,19656.01,1250.10,14593.89
35600,19708.53,1250.10,14641.37
35700,19761.06,1250.10,14688.84
35800,19813.58,1250.10,14736.32
35900,19866.11,1250.10,14783.79
36000,19918.63,1250.10,14831.27
36100,19971.16,1250.10,14878.74
36200,20023.68,1250.10,14926.22
36300,20076.21,1250.10,14973.69
36400,20128.73,1250.10,15021.17
36500,20181.26,1250.10,15068.64
36600,20233.78,1250.10,15116.12
36700,20286.31,1250.10,15163.59
36800,20338.83,1250.10,15211.07
36900,20391.36,1250.10,15258.54
37000,20443.88,1250.10,15306.02
37100,20496.41,1250.10,15353.49
37200,20548.93,1250.10,15400.97
37300,20601.46,1250.10,15448.44
37400,20653.98,1250.10,15495.92
37500,20706.51,1250.10,15543.39
37600,20759.03,1250.10,15590.87
37700,20811.56,1250.10,15638.34
